image_id,text
1,"কলম্বীয় ফুটবল ক্লাব লান্সেরোস বোইয়াকার যুব পর্যায়ের হয়ে খেলার মাধ্যমে
"
2,"ফালকাও ফুটবল জগতে প্রবেশ করেন; অতঃপর তিনি রিভার প্লেতের যুব
"
3,"পর্যায়ের হয়ে খেলার মাধ্যমে ফুটবল খেলায় বিকশিত হয়েছেন। ২০০৫–০৬ মৌসুমে,
"
4,"রিভার প্লেতের হয়ে খেলার মাধ্যমে তিনি তার জ্যেষ্ঠ পর্যায়ের খেলোয়াড়ী
"
5,"জীবন শুরু করেন। রিভার প্লেতে তিনি ৪ মৌসুম অতিবাহিত করেছেন;
"
6,"যেখানে তিনি ৯০ ম্যাচে ৩৪টি গোল করেছেন। পরবর্তীতে তিনি পোর্তু,
"
7,"আতলেতিকো মাদ্রিদ, মোনাকো, ম্যানচেস্টার ইউনাইটেড এবং চেলসির হয়ে খেলেছেন। সম্প্রতি
"
8,"২০১৯–২০ মৌসুমে, তিনি বিনামূল্যে মোনাকো হতে তুর্কি ফুটবল ক্লাব গালাতাসারায়ে
"
9,"নেপালের উন্নত অংশগুলি থেকে সিমিকোটে যাওয়ার মূল মাধ্যম হল বিমান।
"
10,"সিমিকোট বিমানবন্দরের রানওয়ে তুলনামূলকভাবে সংক্ষিপ্ত ৫৪৯ মিটার (১,৮০০ফু) যা প্রায়
"
11,"৩,০০০ মিটার উচ্চতায় অবস্থিত, যার কারণে যাত্রীদের স্টোন বৈশিষ্ট্যযুক্ত যাত্রীবাহী
"
12,"বিমান যেমন ডর্নিয়ার ডু ২৮ এবং ডি হাভিল্যান্ড টুইন ওটার
"
13,"মূল শিকোকু দ্বীপ ছাড়াও সংলগ্ন ক্ষুদ্র ক্ষুদ্র দ্বীপগুলিও শিকোকু দ্বীপ
"
14,"অঞ্চলের অন্তর্গত। সমগ্র অঞ্চলটির ক্ষেত্রফল প্রায় ১৮,৮০০ বর্গ কিলোমিটার (৭,২৫৯
"
15,"বর্গমাইল)। এর অন্তর্গত চারটি প্রশাসনিক অঞ্চল হল এহিমে, কাগাওয়া, কোওচি
"
16,"ও তোকুশিমা। উত্তরে সেতো সাগরের অপর পাড়ে অবস্থিত হোনশু দ্বীপের
"
17,"ওয়াকায়ামা, ওসাকা, হিয়োগো, ওকায়ামা, হিরোশিমা এবং য়ামাগুচি প্রশাসনিক অঞ্চল। পশ্চিমে
"
18,"সুক্কর নামটি  আরবি শব্দ থেকে শক্কার থেকে এসেছে, যার
"
19,"অর্থ হচ্ছ ""চিনি,"" ঐতিহাসিক উল্লেখ করা হয়ে থাকে যে, অঞ্চলটিতে
"
20,"প্রচুর পরিমাণে আখ চাষ হত এবং চিনির প্রচুর পরিমাণ উৎপাদন
"
21,"আব্দুর রইছ ১৯৩১ সালের ১ মে তৎকালীন ব্রিটিশ ভারতের বেঙ্গল
"
22,"প্রেসিডেন্সির সুনামগঞ্জ মহুকুমার জগন্নাথপুরের পাটলী ইউনিয়নের বনগাঁও গ্রামে জন্মগ্রহণ করেন।
"
23,"রফিকা রইছ চৌধুরীর সাথে তিনি বিবাহবন্ধনে আবদ্ধ হন। তাদের সন্তান
"
